Player,Country,Span,Matches,Innings,BallsBowled,RunsConceded,Wickets,BowlingAverage,EconomyRate,StrikeRate,5WicketsPerInnings
Wasim Raja (Pak),Pakistan,1973-1985,54,29,1036,687,21,32.71,3.97,49.3,0
Mohsin Kamal (Pak),Pakistan,1984-1989,19,19,881,760,21,36.19,5.17,41.9,0
Abdur Rehman (Pak),Pakistan,2006-2012,25,25,1344,949,21,45.19,4.23,64,0
AC Dawson (SA),South Africa,1998-2004,19,19,901,715,21,34.04,4.76,42.9,0
M Hayward (SA),South Africa,1998-2002,21,21,993,858,21,40.85,5.18,47.2,0
NB Mahwire (Zim),Zimbabwe,2004-2006,23,21,885,775,21,36.9,5.25,42.1,0
CN Evans (Zim),Zimbabwe,1992-2002,53,34,964,848,21,40.38,5.27,45.9,0
DH Brain (Zim),Zimbabwe,1992-1995,23,23,1091,849,21,40.42,4.66,51.9,0
MHN Walker (Aus),Australia,1974-1981,17,17,1006,546,20,27.3,3.25,50.3,0
Kabir Ali (Eng),England,2003-2006,14,13,673,682,20,34.1,6.08,33.6,0
RS Bopara (Eng),England,2007-2012,83,44,965,745,20,37.25,4.63,48.2,0
DA Reeve (Eng),England,1991-1996,29,28,1147,820,20,41,4.28,57.3,0
A Jadeja (India),India,1992-2000,196,52,1248,1094,20,54.7,5.25,62.4,0
PR Stirling (Ire),Ireland,2008-2012,38,25,937,692,20,34.6,4.43,46.8,0
JO Ngoche (Kenya),Kenya,2010-2013,16,16,818,518,20,25.9,3.79,40.9,0
DR Hadlee (NZ),New Zealand,1973-1976,11,11,628,364,20,18.2,3.47,31.4,0
HK Bennett (NZ),New Zealand,2010-2011,12,11,488,435,20,21.75,5.34,24.4,0
Shoaib Mohammad (Pak),Pakistan,1984-1993,63,35,919,725,20,36.25,4.73,45.9,0
Rashid Khan (Pak),Pakistan,1980-1985,29,28,1414,923,20,46.15,3.91,70.7,0
RT Lyons (Scot),Scotland,2006-2010,25,23,1093,901,20,45.05,4.94,54.6,0
D Bishoo (WI),West Indies,2011-2011,13,13,666,476,20,23.8,4.28,33.3,0
NO Perry (WI),West Indies,1999-2000,21,21,946,783,20,39.15,4.96,47.3,0
KM Jarvis (Zim),Zimbabwe,2009-2013,19,19,941,978,20,48.9,6.23,47,0
CJ Chibhabha (Zim),Zimbabwe,2005-2013,63,35,942,1099,20,54.95,7,47.1,0
TM Chappell (Aus),Australia,1980-1983,20,14,736,538,19,28.31,4.38,38.7,0
JN Maguire (Aus),Australia,1983-1984,23,20,1009,769,19,40.47,4.57,53.1,0
Mushfiqur Rahman (Ban),Bangladesh,2000-2004,28,28,1332,983,19,51.73,4.42,70.1,0
Enamul Haque (Ban),Bangladesh,1990-2002,29,28,1238,1083,19,57,5.24,65.1,0
GG Arnold (Eng),England,1972-1975,14,13,714,339,19,17.84,2.84,37.5,0
RD Jackman (Eng),England,1974-1983,15,15,873,598,19,31.47,4.1,45.9,0
AW Greig (Eng),England,1972-1977,22,19,916,619,19,32.57,4.05,48.2,0
PCR Tufnell (Eng),England,1990-1997,20,20,1020,699,19,36.78,4.11,53.6,0
A Mishra (India),India,2003-2011,15,14,763,575,19,30.26,4.52,40.1,0
SK Raina (India),India,2005-2013,159,57,1076,918,19,48.31,5.11,56.6,0
M Sheikh (Kenya),Kenya,1997-2000,21,21,778,625,19,32.89,4.82,40.9,0
BJ McKechnie (NZ),New Zealand,1975-1981,14,14,818,495,19,26.05,3.63,43,0
GD Elliott (NZ),New Zealand,2008-2013,43,27,627,512,19,26.94,4.89,33,0
Shahid Nazir (Pak),Pakistan,1996-2000,17,17,810,649,19,34.15,4.8,42.6,0
